名称,ふりがな,郵便番号,所在地,関連URL,写真,コメント,電話番号,FAX番号,その他情報,経度,緯度
ファミリーマート　大和深見西店,ふぁみりーまーと　やまとふかみにしてん,2420018,大和市深見西2-2-2　アーバンライフ1F,,,85-H-7,046-200-2016,,,139.4672462,35.4721404
ドラッグセイムス　大和柳橋店,どらっぐせいむすやまとやなぎばしてん,2420022,大和市柳橋1-5-6,,,115-H-1,046-265-6121,,,139.4674588,35.4568354
いなげや　大和桜ヶ丘店,いなげややまとさくらがおかてん,2420024,大和市福田2-7-4,,,129-H-7,046-269-2361,,,139.4674608,35.4450561
（株）ビッグヨーサン　高座渋谷駅前店,かぶしきがいしゃびっぐよーさん　こうざしぶやえきまえてん,2420024,大和市渋谷5-22　IKOZA内,,,159-H-1,046-201-0043,,,139.4675215,35.4295296
ミニストップ　大和柳橋店,みにすとっぷやまとやなぎばしてん,2420022,大和市柳橋2-15-5,,,116-A-7,046-267-4315,,,139.4675668,35.4542792
セブンイレブン　大和高座渋谷駅西口店,せぶんいれぶん　やまとこうざしぶやえきにしぐちてん,2420024,大和市渋谷8-1-1,,,160-A-3,046-268-8070,,,139.4676212,35.4287417
（有）加藤米店,ゆうげんがいしゃかとうこめてん,2420001,大和市下鶴間2123,,,34-A-9,046-274-0022,,,139.4676292,35.4980477
（有）マルエムサイクル,ゆうげんがいしゃまるえむさいくる,2420022,大和市柳橋3-10-1,,,122-A-4,046-268-1817,,,139.4677332,35.451102
（有）嶋田商店,ゆうげんがいしゃしまだしょうてん,2420022,大和市柳橋2-9-6,,,116-A-10,046-267-5050,,,139.4678308,35.4528489
セブンイレブン　大和桜ヶ丘西口店,せぶんいれぶん　やまとさくらがおかにしぐちてん,2420024,大和市福田2-3-14,,,130-A-5,046-268-7387,,,139.4678591,35.4460804
山下酒店,やましたさけてん,2420024,大和市福田2-6-3,,,130-A-6,046-267-0807,,,139.4678677,35.4454728
金子たばこ店,かねこたばこてん,2420001,大和市下鶴間2124,,,34-B-9,046-274-0021,,,139.4678818,35.4980712
ローソン　大和深見東三丁目店,ろーそん　ふかみひがしさんちょうめてん,2420012,大和市深見東3-1-6,,,78-A-1,046-263-0920,,,139.4678831,35.4793915
ローソン　大和南一丁目店,ろーそん　やまとみなみいっちょうめてん,2420016,大和市大和南1-8-1,,,94-A-10,046-264-0513,,,139.4679794,35.4662794
ローソン　小田急桜ヶ丘店,ろーそん　おだきゅうさくらがおかてん,2420024,大和市福田2-3,,,130-A-2,046-269-3750,,,139.4680357,35.4471068
セブンイレブン　大和島津店,せぶんいれぶん　やまとしまづてん,2420012,大和市深見東2-1-9,,,78-B-6,046-264-4088,,,139.4680795,35.4770639
オダギリ薬局　桜ヶ丘店,おだぎりやっきょくさくらがおかてん,2420024,大和市福田1-8-1,,,130-A-1,046-269-1593,,,139.4680804,35.4476657
ファミリーマート　高座渋谷駅店,ふぁみりーまーと　こうざしぶやえきてん,2420024,大和市渋谷6-16-3　小田急マルシェ高座渋谷,,,160-A-2,046-279-5636,046-279-5636,,139.4681265,35.429221
ハックドラッグ　桜ヶ丘駅前店,はっくどらっぐ　さくらがおかえきまえてん,2420024,大和市福田2-3-1,,,130-B-2,046-279-5030,,,139.4682085,35.4470983
ローソンストア100　大和深見東店,ろーそんすとあひゃく　やまとふかみひがしてん,2420012,大和市深見東1-1-13,,,86-B-2,046-200-4199,,,139.468315,35.4741248
ミュージックショップ　ダイエー,みゅーじっくしょっぷ　だいえー,2420024,大和市福田2-2-3　桜ヶ丘プラザ内,,,130-B-2,046-267-4045,,,139.4684396,35.4470233
セブンイレブン　大和高座渋谷駅東口店,せぶんいれぶん　やまとこうざしぶやえきひがしぐちてん,2420024,大和市渋谷6-12-2,,,160-B-2,046-268-1011,,,139.4684707,35.4294745
セブンイレブン　大和福田一丁目店,せぶんいれぶん　やまとふくだいっちょうめてん,2420024,大和市福田1-1-1,,,122-B-8,046-267-7082,,,139.4685252,35.4492003
クリエイトS･D　大和高座渋谷店,くりえいとえす・でぃー　やまとこうざしぶやてん,2420024,大和市渋谷6-18-2,,,152-B-8,046-279-5080,,,139.4686282,35.4311717
ウェルシア　大和南店,うぇるしあ　やまとみなみてん,2420016,大和市大和南1-12-16,,,104-B-2,046-200-3105,,,139.4687393,35.465207
セブンイレブン　大和東3丁目店,せぶんいれぶん　やまとひがしさんちょうめてん,2420017,大和市大和東3-4-17,,,94-C-4,046-260-3262,,,139.468691,35.4688896
松屋酒店,まつやさけてん,2420024,大和市渋谷7-28-7,,,160-C-3,046-267-2686,,,139.4688961,35.4288225
はあとらんど。,はあとらんど,2420023,大和市渋谷1-4-4-1F,,,144-C-10,046-269-7949,,,139.4689267,35.4344855
（有）伊東商店,ゆうげんがいしゃいとうしょうてん,2420023,大和市渋谷1-4-3,,,144-C-10,046-267-1006,,,139.4689896,35.4345452
（有）大和種苗商会,ゆうげんがいしゃやまとしゅびょうしょうかい,2420016,大和市大和南1-11-6,,,104-C-1<br>,046-261-2553,,,139.4690648,35.4655753
セブンイレブン　大和福田中央店,せぶんいれぶんやまとふくだちゅうおうてん,2420024,大和市福田2339-12,,,144-C-5,046-267-1861,,,139.4690921,35.4369874
セブンイレブン　大和桜ヶ丘東口店,せぶんいれぶん　やまとさくらがおかひがしぐちてん,2420024,大和市福田5515-5,,,130-C-4,046-269-8670,,,139.4691168,35.4466295
ドリームファーマシー,どりーむふぁーましー,2420024,大和市福田5515-1,,,130-C-3,046-279-5165,,,139.4691526,35.4469658
ローソン　大和高座渋谷東店,ろーそん　やまとこうざしぶやひがしてん,2420015,大和市渋谷7-15-6,,,160-D-8,046-269-5563,,,139.4693159,35.4264782
菓子司　増田屋,かしつかさますだや,2420016,大和市大和南1-14-2,,,94-D-10,046-261-0113,,,139.4693698,35.4660874
イオンリテール（株）　イオン大和店　,いおんりてーるかぶしきがいしゃ　いおんやまとてん,2420015,大和市渋谷6-6-1,,,152-D-6,046-269-1111,,,139.4694669,35.4318162
（株）キャピトルトランポ　本社営業所第一車庫,かぶしきがいしゃきゃぴとるとらんぽ　ほんしゃえいぎょうしょだいいちしゃこ,2420001,大和市下鶴間2262-12,,,42-E-3,046-277-2400,,,139.4695322,35.4965229
セブンイレブン　大和下鶴間宿店,せぶんいれぶん　やまとしもつるましゅくてん,2420001,大和市下鶴間2236-1,,,34-E-9,046-272-7116,,R7.3/7 廃業,139.4696418,35.4982012
DCM　大和深見店,でぃーしーえむ　やまとふかみてん,2420012,大和市深見東1-2-33,,,86-E-5,046-261-8311,,,139.4699341,35.473049
ファミリーマート　大和南二丁目店,ふぁみりーまーと　やまとみなみにちょうめてん,2420016,大和市大和南2-13-12,,,110-E-3,046-200-3258,046-200-3258,,139.4701111,35.4602376
島忠ホームズ　大和店,しまちゅうほーむず　やまとてん,2420014,大和市上和田2670-1,,,136-E･F-10,050-1712-4342,050-1712-6442,,139.4701856,35.4390194
クリエイトエス・ディー　大和上和田店,くりえいとえす・でぃー　やまとかみわだてん,2420014,大和市上和田1805-4,,,136-F-2,046-269-2887,,,139.4702365,35.4428861
ローソンストア100　大和深見台一丁目店,ろーそんすとあひゃく　やまとふかみだいいっちょうめてん,2420013,大和市深見台1-7-29,,,104-F-9,046-200-3663,046-200-3663,,139.470186,35.4619282
セブンイレブン　大和上和田店,せぶんいれぶん　やまとかみわだてん,2420014,大和市上和田1826-1,,,136-F-5,046-267-6681,,,139.4703657,35.441532
オーケー　大和上和田店,おーけー　やまとかみわだてん,2420014,大和市上和田2734-1,,,144-F-3,046-204-7221,,,139.4705504,35.4376022
細田産業（株）,ほそださんぎょうかぶしきがいしゃ,2420011,大和市深見3919,,,110-F-6,046-263-1331,,2024年12月5日廃業,139.4706891,35.4591129
ローソン　大和深見店,ろーそん　やまとふかみてん,2420022,大和市深見3869-13,,,116-F-1,046-263-3310,,,139.4707539,35.4568682
ローソン　大和下和田店,ろーそん　やまとしもわだてん,2420015,大和市下和田771-1,,,166-H-8,046-268-5100,,,139.4719504,35.4218841
ローソンスリーエフ　大和上和田団地店,ろーそんすりーえふ　やまとかみわだだんちてん,2420014,大和市上和田3294,,,153-E-2,046-267-1186,,,139.4745226,35.4336816
クリエイトS･D　大和下和田店,くりえいとえすでぃー　やまとしもわだてん,2420015,大和市下和田100-1,,,161-F-6,046-279-4030,,,139.4750271,35.4276879
オーケー　大和店,おーけー　やまとてん,2420015,大和市下和田45,,,161-F-4,046-267-3001,,,139.4750867,35.4285296
セブンイレブン　大和いちょう団地店,せぶんいれぶん　やまといちょうだんちてん,2420015,大和市下和田104,,,161-F-5,046-268-6156,,,139.4752405,35.4278456
セブンイレブン　大和上和田中央店,せぶんいれぶん　やまとかみわだちゅうおうてん,2420014,大和市上和田1626-3,,,132-C-5,046-268-7008,,,139.4775303,35.4458076
御菓子司　松埜,おんかしつかさ　まつの,2420014,大和市上和田440-20,,,124-D-2,046-268-1955,,,139.4784119,35.4515881
富士ガーデン　大和駅前店,ふじがーでん　やまとえきまえてん,2420017,大和市大和東1-2-1　大和スカイビル地下１Ｆ,,,93-C-7,046-265-6629,,,139.4648249,35.467218
ファミリーマート　大和駅南店,ふぁみりーまーと　やまとえきみなみてん,2420016,大和市大和南1-3-3,,,093-E-10,046-200-3120,,,139.4656341,35.466273
スギドラッグ　桜ヶ丘店,すぎどらっぐ　さくらがおかてん,2420014,大和市上和田954-1,,,122-F-10,046-204-4071,,,139.4703682,35.4484375
ファミリーマート　大和東三丁目店,ふぁみりーまーと　やまとひがしさんちょうめてん,2420017,大和市大和東3-11-17,,,94-B-1,046-200-3016,,,139.4684713,35.4705001
まいばすけっと　大和南１丁目店,まいばすけっと　やまとみなみいっちょうめてん,2420016,大和南1-13-14,,,104-E-3,046-206-5092,046-206-5098,,139.4698189,35.4647324
ファミリーマート相鉄大和駅店,ふぁみりーまーと　そうてつやまとてん,2420021,大和市中央2-1-1,,,93-B-8,046-265-1015,046-265-1015,,139.4643507,35.4666288
まいばすけっと　大和中央5丁目店,まいばすけっと　やまとちゅうおうごちょうめてん,2420021,大和市中央5-6-29,,,102-B-2,046ｰ205-4673,046-205-4674,営業　午前8時～午後11時<BR>無休,139.4595282,35.4650357
三和　大和南店,さんわ　やまとみなみてん,2420016,大和南2-4-12,,,,046-205-4860,046-205-4610,営業時間<BR>平日   10時～22時<BR>土日祝  9時～22時,139.4692095,35.4637137
まいばすけっと　桜ヶ丘駅東店,まいばすけっと　さくらがおかえきひがしてん,2420014,大和市上和田953-1　京王大和マンション,,,122-F-10,046-204-9139,046-204-9189,営業時間　午前8時～午後10時<BR>休業日　なし,139.4704003,35.4480359
ローソンストア100　南林間七丁目店,ろーそんすとあひゃく　みなみりんかんななちょうめてん,2420006,大和市南林間7-25-1,,,53-G-2,046-275-2771,046-275-2771,,139.4402917,35.4881241
ローソン　大和深見台四丁目店,ろーそん　やまとふかみだいよんちょうめてん,2420013,大和市深見台四丁目13-20,,,86-G-6,046-206-7277,046-206-7277,,139.4707352,35.4722671
オーケー　大和鶴間店,おーけーやまとつるまてん,2420004,大和市鶴間2-1-18,,,57-B-4,046-206-7205,,,139.4551838,35.4871363
ロピア中央林間店,ろぴあちゅうおうりんかんてん,2420001,大和市中央林間8-25-8,,,20-E・F-2,046-278-2929,,営業時間：10:00から20:00<BR>休業日：年始 1/1から1/3,139.4523694,35.5060274
まいばすけっと　大和東三丁目店,まいばすけっと　やまとひがしさんちょうめてん,2420017,大和市大和東3-1-6　JMビル,,,93-E-5,046-206-7254,046-206-7256,,139.4656433,35.4682785
クリエイトエス・ディー　大和下鶴間店,くりえいとえすでぃー　やまとしもつるまてん,2420001,大和市下鶴間3002-2,,,39-B-4,046-244-5148,046-244-5149,,139.4548503,35.4957664
クリエイトエス・ディー　南林間ヒメシャラ通り店,くりえいとえすでぃー　みなみりんかんひめしゃらどおりてん,2420008,大和市中央林間西1-17-3,,,36-F-2,046-205-9281,046-205-9282,1/1、1/2 休業,139.4440318,35.4967222
セブンイレブン　小田急マルシェ大和店,せぶんいれぶん　おだきゅうまるしぇやまとてん,2420021,大和市中央1-1-26　小田急マルシェ内,,,93-D-10,046-200-3611,046-200-3613,,139.4650366,35.466057
スギドラッグ　高座渋谷店,すぎどらっぐ　こうざしぶやてん,2420023,大和市渋谷6-11-4,,,160-C-1,046-206-4758,046-206-4759,,139.4691036,35.42967
ローソン・スリーエフ 大和東二丁目店,ろーそんすりーえふ やまとひがしにちょうめてん,2420017,大和市大和東2-5-10,,,93-E-3,046-261-2873,,,139.4654224,35.4696229
